StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Hilab;Health Care Information Technology Medical Device;Curitiba Parana Brazil;Hilab is a technology company that develops biomedical equipment and telemedicine technology for the humanization of health care.;2023-05-31;;6;Venture - Series Unknown;BR;Latin America;Google for Startups Qualcomm Ventures Endeavor Catalyst monashees Bossanova Investimentos
Pods;Blockchain Cryptocurrency FinTech;São Paulo Sao Paulo Brazil;The easiest way to hedge crypto.;2023-01-01;;3;Venture - Series Unknown;BR;Latin America;Republic Framework Ventures Boost VC IOSG Ventures 6th Man Ventures
Ulend;Angel Investment Financial Services Peer to Peer;São Paulo Sao Paulo Brazil;Ulend is a loan lending platform.;2023-02-07;;2;Venture - Series Unknown;BR;Latin America;EqSeed Solis Investimentos
Guia da Alma;Health Care Mental Health mHealth Wellness;Florianópolis Santa Catarina Brazil;Guia da Alma develops an app-based wellness platform for mental health.;2023-06-01;;2;Venture - Series Unknown;BR;Latin America;Anjos do Brasil Bossanova Investimentos
Intexfy;Information Services Information Technology Software;Florianópolis Santa Catarina Brazil;Intexfy is a business intelligence platform that helps B2B businesses find new accounts hit goals and grow.;2023-06-01;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Doutor Ao Vivo;Health Care Medical Telehealth;Barueri Sao Paulo Brazil;Doutor Ao Vivo is a health tech software company.;2023-06-23;;2;Venture - Series Unknown;BR;Latin America;FCJ Venture Builder Bossanova Investimentos
Sociilaw;E-Signature Enterprise Applications Legal Legal Tech;Brasil Sao Paulo Brazil;SociiLaw is a law firm.;2023-02-01;;2;Venture - Series Unknown;BR;Latin America;VENTIUR Bossanova Investimentos
Arquiteto de Bolso;Architecture;São Paulo Sao Paulo Brazil;Pocket Architect offers assistance for home transformations.;2023-05-01;;5;Venture - Series Unknown;BR;Latin America;ACE Ventures Gvangels Bossanova Investimentos
Brickup;Construction;Brumadinho Minas Gerais Brazil;SaaS to bring construction site data to the office;2023-04-01;;1;Venture - Series Unknown;BR;Latin America;
Vimbo Tecnologia;Artificial Intelligence (AI) Business Information Systems Enterprise Resource Planning (ERP) Information Technology Intelligent Systems Internet Marketing Retail Software;Concórdia Para Brazil;Intelligent system for managing controlling and selling products and services online. Aimed at the Brazilian Retail and Industrial;2023-05-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Inco;Apps Crowdfunding Financial Services;Belo Horizonte Minas Gerais Brazil;INCO is an electronic investment platform.;2023-04-01;;3;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Lumx;Blockchain Cryptocurrency Developer Tools Identity Management Information Technology Web3;Rio De Janeiro Rio de Janeiro Brazil;Lumx offers a suite of APIs and SDKs that enables companies and developers to create end-to-end blockchain applications easier and faster.;2023-04-14;;1;Venture - Series Unknown;BR;Latin America;BTG Pactual
Magikk;Communities Information Technology Marketplace;Rio De Janeiro Rio de Janeiro Brazil;Magikk provides a mobile application and also rewards volunteer people.;2023-03-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Clarice.AI;Artificial Intelligence (AI) Software Virtual Assistant;São Paulo Sao Paulo Brazil;Clarice.AI is an artificial intelligence-based writing assistant.;2023-05-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Akropoli;Consulting Financial Services FinTech Information Technology;Florianópolis Santa Catarina Brazil;Akropoli is a fintech company that renders technology solutions for financial management open banking and analytics.;2023-03-08;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
Pay2B;Financial Services FinTech Information Technology Payments Software;Barueri Sao Paulo Brazil;Pay2B is a Payment-as-a-service ecosystem that orchestrates end-to-end all payment processes of companies.;2023-06-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
DeliveryTurbo;Digital Entertainment Operating Systems Telecommunications;Timbó Santa Catarina Brazil;DeliveryTurbo is a software company that offers a platform for restaurants to manage their deliveries orders menus and payments.;2023-05-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
AlugaMais;Information Technology Innovation Management Leasing Real Estate Software;Bela Vista Sao Paulo Brazil;AlugaMais develops and creates a digital platform that manages services of businesses from the real estate industry.;2023-05-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
SupPay;Financial Services FinTech Payments;São Paulo Sao Paulo Brazil;SupPay is a payment platform used as a remittance from clients' card machines as payment for the distributors.;2023-03-08;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
QuanticPass;Biometrics Identity Management Machine Learning;São Paulo Sao Paulo Brazil;QuanticPass provides a biometric authentication factor based on individual human behavior.;2023-03-08;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
GoPhone;Telecommunications;Providencia Region Metropolitana Chile;GoPhone provide mobile or telephonic services to companies or individuals.;2021-09-09;;1;Venture - Series Unknown;CL;Latin America;Google for Startups
AuasNuevas;Sustainability Water Water Purification;Las Condes Region Metropolitana Chile;AuasNuevas delivers sanitary services that contribute to improving the quality of life of clients.;2020-04-14;;1;Venture - Series Unknown;CL;Latin America;Innovation Network Corporation of Japan
eSponsor;Content Creators Crowdfunding Information Technology;Santiago Region Metropolitana Chile;eSponsor provides a one-stop web platform that facilitates seamless content page creation content monetization and personalization.;2022-12-12;;2;Venture - Series Unknown;CL;Latin America;Parallel18
Examedi;Health Care Internet Productivity Tools;Las Condes Region Metropolitana Chile;Examedi is a healthcare startup that offers a healthcare-at-home marketplace to make booking lab tests easier.;2022-07-08;;6;Venture - Series Unknown;CL;Latin America;Y Combinator General Catalyst 8VC Quiet Capital FJ Labs
Chipax;Data Collection and Labeling Financial Services;Santiago Region Metropolitana Chile;We make SMB accounting simpler with real-time data collection from IRS and banks automated reporting (cash flow income statement etc);2022-02-05;;3;Venture - Series Unknown;CL;Latin America;500 Global Y Combinator Fen Ventures
Agroberries;Fruit Wholesale;Santiago Region Metropolitana Chile;Agroberries is a vertically integrated producer marketer and global distributor of fresh berries.;2022-01-18;;1;Venture - Series Unknown;CL;Latin America;Continental Grain Company
Algramo;Logistics Retail Technology Supply Chain Management;Santiago Region Metropolitana Chile;Algramo aims to establish a wholesale relationship with manufacturers of consumer products such as detergents.;2023-01-01;;5;Venture - Series Unknown;CL;Latin America;Closed Loop Partners FEMSA Start-Up Chile ImpactAssets Closed Loop Ventures
AltWoo;Analytics Artificial Intelligence (AI) Augmented Reality Big Data Blockchain E-Commerce FinTech Real Time Social Network;Santiago Region Metropolitana Chile;Altwoo is a global social network on a blockchain platform with real-time information and analysis.;2023-06-22;;1;Venture - Series Unknown;CL;Latin America;
Mensajeros Urbanos;Delivery Delivery Service Food Delivery Logistics Supply Chain Management;Bogotá Distrito Especial Colombia;The largest and diverse collaborative logistic network in Colombia and the fastest growing in México and LATAM.;2021-10-01;;8;Venture - Series Unknown;CO;Latin America;Movile Wayra Rhombuz VC K50 Ventures
Poetri;Cloud Infrastructure Developer Tools Marketplace Project Management;Bogotá Distrito Especial Colombia;Poetri is an on-demand auto scaling functions as a service with a serverless pay-as-you-go pricing model and marketplace;2020-01-01;;2;Venture - Series Unknown;CO;Latin America;Social Starts Brian York Bassin Ventures
Pimes;Commercial Lending Emerging Markets Finance Financial Services FinTech Impact Investing Small and Medium Businesses;Bogotá Distrito Especial Colombia;Mission-Driven For-Profit Online Lender to Small Businesses in Developing Markets;2020-01-01;;2;Venture - Series Unknown;CO;Latin America;Thirdstream Partners Fernando Rivera
Elenas;Direct Sales E-Commerce Software;Bogotá Distrito Especial Colombia;Elenas is Latin America's top social commerce platform empowering micro-entrepreneurs to start their online store.;2024-08-30;;5;Venture - Series Unknown;CO;Latin America;Meesho FJ Labs Polymath Ventures Endeavor Catalyst Leo Capital
Aflore;Credit Finance Financial Services FinTech;Bogotá Distrito Especial Colombia;Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.;2022-12-31;;13;Venture - Series Unknown;CO;Latin America;Accial Capital Polymath Ventures Unreasonable Capital Amador Holdings Women's World Banking
Uptime Analytics;Energy;Bogotá Distrito Especial Colombia;Uptime Analytics is an energy consumption and operational performance company.;2022-09-01;;1;Venture - Series Unknown;CO;Latin America;Axon Partners Group
Liquitech;Apps Financial Services Payments;Barranquilla Atlantico Colombia;Liquitech offers financial solutions for organisations and individuals through digital provisions e-payments and liquidity advances.;2022-11-08;;1;Venture - Series Unknown;CO;Latin America;Kandeo CrossRegional Management
Picap;Apps Ride Sharing Transportation;Bogotá Distrito Especial Colombia;Picap is a Mexican ride-hailing service provider that helps people to request a ride-sharing service through their mobile phone.;2022-01-01;;3;Venture - Series Unknown;CO;Latin America;VU Venture Partners Signia Venture Partners Transition Level Investments Unpopular Ventures Fahim Saleh
Lucro;Analytics Information Technology Retail Software;Bogotá Distrito Especial Colombia;Lucro is a provider of technology and software solutions for companies that offer actionable data analysis and visualization.;2022-06-06;;1;Venture - Series Unknown;CO;Latin America;Endeavor
Capabilia;E-Learning Education Training;Barrio Escalante San Jose Costa Rica;Capabilia is a digital education company that offers content development portfolio program management and academic services.;2022-11-01;;1;Venture - Series Unknown;CR;Latin America;BDev Ventures
Blimboo;Information Technology Sales Web Design;Cristo San Jose Costa Rica;Blimboo provides sales pages specializing in customizing and automating online sales.;2023-03-01;;1;Venture - Series Unknown;CR;Latin America;Bossanova Investimentos
Qüilo;Employment Human Resources Software;Guatemala City Guatemala Guatemala;Qüilo is an all-in-one HR platform por companies in Latin America.;2022-01-12;;3;Venture - Series Unknown;GT;Latin America;Draper University Ventures ICBA ThinkTECH Accelerator 2.0
Plissonneau;Supply Chain Management Transportation Warehousing;Fort-de-France NA - Martinique Martinique;Plissonneau is a conglomerate company involved in the sale and rental services of industrial equipment used in transport operations.;2021-11-08;;1;Venture - Series Unknown;MQ;Latin America;Bpifrance BNP Paribas
Grow Mobility;Last Mile Transportation;Mexico City Distrito Federal Mexico;Grow is a micromobility and payments platform based in Latam.;2020-10-01;;2;Venture - Series Unknown;MX;Latin America;Bossanova Investimentos
Quo;Information Technology Internet Software;Cuauhtémoc Colima Mexico;Quo helps people hire teams and accelerate software development.;2020-10-01;;1;Venture - Series Unknown;MX;Latin America;Bossanova Investimentos
Tierra;Analytics Big Data Data Mining Location Based Services Risk Management Security;Mexico City Distrito Federal Mexico;Tierra is a web-based geographic data analysis solution that analyzes security data to help businesses make safer informed decisions.;2020-09-09;;1;Venture - Series Unknown;MX;Latin America;Propel
Homely;Apps Consumer Home Services Hospitality Marketplace Service Industry;Mexico City Distrito Federal Mexico;Homely is the first on- demand based marketplace in Mexico to match trusted cleaners and users.;2021-11-23;;3;Venture - Series Unknown;MX;Latin America;Toushka Capital
